Date,Negative,Positive,Neutral,Total,Percentage_neg,Percentage_pos,Percentage_neutr
2015-12-18,82,125,225,432,18.98148148148148,28.935185185185187,52.083333333333336
2015-12-19,129,58,196,383,33.68146214099217,15.143603133159269,51.174934725848566
2015-12-20,71,66,113,250,28.4,26.400000000000002,45.2
2015-12-21,145,68,161,374,38.770053475935825,18.181818181818183,43.04812834224599
2015-12-22,38,91,210,339,11.209439528023598,26.843657817109147,61.94690265486725
2015-12-23,122,59,203,384,31.770833333333332,15.364583333333334,52.864583333333336
2015-12-24,101,73,224,398,25.376884422110553,18.341708542713565,56.28140703517588
2015-12-25,33,47,348,428,7.710280373831775,10.981308411214954,81.30841121495327
2015-12-26,61,60,126,247,24.696356275303643,24.291497975708502,51.012145748987855
2015-12-27,74,39,181,294,25.170068027210885,13.26530612244898,61.564625850340136
2015-12-28,36,60,144,240,15.0,25.0,60.0
2015-12-29,32,56,119,207,15.458937198067632,27.053140096618357,57.48792270531401
2015-12-30,57,123,161,341,16.715542521994134,36.070381231671554,47.214076246334315
2015-12-31,51,60,152,263,19.39163498098859,22.813688212927758,57.79467680608364
2016-01-01,36,155,119,310,11.612903225806452,50.0,38.387096774193544
2016-01-02,163,85,118,366,44.53551912568306,23.224043715846996,32.240437158469945
2016-01-03,84,211,120,415,20.240963855421686,50.84337349397591,28.915662650602407
2016-01-04,63,120,260,443,14.221218961625281,27.088036117381492,58.69074492099323
2016-01-05,115,187,695,997,11.534603811434303,18.756268806419257,69.70912738214643
2016-01-06,139,104,281,524,26.52671755725191,19.84732824427481,53.62595419847328
2016-01-07,80,99,245,424,18.867924528301888,23.349056603773587,57.78301886792453
2016-01-08,70,100,163,333,21.02102102102102,30.03003003003003,48.94894894894895
2016-01-09,139,88,240,467,29.764453961456105,18.843683083511777,51.39186295503212
2016-01-10,200,91,161,452,44.24778761061947,20.13274336283186,35.61946902654867
2016-01-11,141,98,194,433,32.5635103926097,22.632794457274827,44.80369515011547
2016-01-12,95,109,153,357,26.610644257703083,30.532212885154063,42.857142857142854
2016-01-13,89,80,243,412,21.601941747572813,19.41747572815534,58.98058252427184
2016-01-14,93,256,232,581,16.00688468158348,44.061962134251296,39.93115318416523
2016-01-15,69,240,204,513,13.450292397660817,46.783625730994146,39.76608187134503
2016-01-16,77,105,180,362,21.2707182320442,29.005524861878452,49.72375690607735
2016-01-17,60,85,196,341,17.595307917888565,24.926686217008797,57.478005865102645
2016-01-18,109,277,394,780,13.974358974358974,35.51282051282051,50.51282051282051
2016-01-19,88,188,255,531,16.57250470809793,35.40489642184557,48.0225988700565
2016-01-20,149,325,989,1463,10.184552289815448,22.214627477785374,67.60082023239919
2016-01-21,125,196,492,813,15.375153751537516,24.108241082410824,60.51660516605166
2016-01-22,103,589,1132,1824,5.646929824561404,32.29166666666667,62.06140350877193
2016-01-23,126,200,274,600,21.0,33.33333333333333,45.666666666666664
2016-01-24,150,415,656,1221,12.285012285012286,33.98853398853399,53.72645372645373
2016-01-25,206,433,700,1339,15.384615384615385,32.33756534727409,52.27781926811053
2016-01-26,91,311,461,863,10.544611819235227,36.03707995365006,53.41830822711472
