Date,Negative,Total,Percentage
2016-02-26,52,331,15.709969788519636
2016-02-27,67,254,26.37795275590551
2016-02-28,85,292,29.10958904109589
2016-02-29,107,478,22.384937238493723
2016-03-01,99,515,19.223300970873787
2016-03-02,73,471,15.498938428874734
2016-03-03,154,842,18.28978622327791
2016-03-04,123,582,21.1340206185567
2016-03-05,89,316,28.164556962025316
2016-03-06,52,332,15.66265060240964
2016-03-07,284,1165,24.377682403433475
2016-03-08,92,587,15.67291311754685
2016-03-09,140,479,29.227557411273487
2016-03-10,61,351,17.37891737891738
2016-03-11,44,438,10.045662100456621
2016-03-12,41,251,16.334661354581673
2016-03-13,66,287,22.99651567944251
2016-03-14,69,313,22.044728434504794
2016-03-15,34,294,11.564625850340136
2016-03-16,95,312,30.448717948717945
2016-03-17,83,316,26.265822784810126
2016-03-18,73,333,21.92192192192192
2016-03-19,34,277,12.274368231046932
2016-03-20,36,228,15.789473684210526
2016-03-21,107,499,21.442885771543086
2016-03-22,151,721,20.943134535367545
2016-03-23,107,430,24.88372093023256
2016-03-24,132,505,26.13861386138614
2016-03-25,75,502,14.940239043824702
2016-03-26,46,226,20.353982300884958
2016-03-27,57,222,25.675675675675674
2016-03-28,64,250,25.6
2016-03-29,85,992,8.568548387096774
2016-03-30,75,370,20.27027027027027
2016-03-31,41,348,11.781609195402298
2016-04-01,48,254,18.89763779527559
2016-04-02,146,354,41.24293785310734
2016-04-03,95,284,33.45070422535211
2016-04-04,73,296,24.66216216216216
2016-04-05,67,289,23.18339100346021
2016-04-06,45,305,14.754098360655737
2016-04-07,64,264,24.242424242424242
2016-04-08,47,291,16.151202749140893
2016-04-09,80,321,24.922118380062305
2016-04-10,42,209,20.095693779904305
2016-04-11,45,337,13.353115727002967
2016-04-12,58,268,21.641791044776117
2016-04-13,279,1181,23.624047417442846
2016-04-14,213,779,27.342747111681643
2016-04-15,64,478,13.389121338912133
2016-04-16,52,281,18.505338078291814
2016-04-17,46,300,15.333333333333332
2016-04-18,103,516,19.961240310077518
2016-04-19,62,518,11.96911196911197
2016-04-20,65,785,8.280254777070063
2016-04-21,261,1528,17.081151832460733
2016-04-22,78,579,13.471502590673575
2016-04-23,41,278,14.748201438848922
2016-04-24,57,541,10.536044362292053
2016-04-25,178,827,21.5235792019347
2016-04-26,237,2096,11.307251908396946
2016-04-27,148,927,15.965480043149945
2016-04-28,151,679,22.23858615611193
2016-04-29,102,506,20.158102766798418
2016-04-30,69,477,14.465408805031446
2016-05-01,71,266,26.691729323308273
2016-05-02,47,213,22.065727699530516
2016-05-03,109,359,30.362116991643457
2016-05-04,193,1325,14.566037735849058
2016-05-05,72,671,10.730253353204173
2016-05-06,48,447,10.738255033557047
2016-05-07,43,356,12.07865168539326
2016-05-08,32,244,13.114754098360656
2016-05-09,53,366,14.48087431693989
2016-05-10,172,670,25.671641791044774
2016-05-11,141,654,21.55963302752294
2016-05-12,86,442,19.457013574660635
2016-05-13,104,381,27.296587926509186
2016-05-14,88,357,24.649859943977592
2016-05-15,44,321,13.707165109034266
2016-05-16,55,338,16.272189349112427
2016-05-17,66,367,17.983651226158038
2016-05-18,51,442,11.538461538461538
2016-05-19,94,650,14.461538461538462
2016-05-20,83,760,10.921052631578949
2016-05-21,85,401,21.197007481296758
2016-05-22,57,306,18.627450980392158
2016-05-23,65,566,11.484098939929329
2016-05-24,130,964,13.485477178423237
2016-05-25,69,577,11.95840554592721
2016-05-26,151,846,17.84869976359338
2016-05-27,115,1597,7.201001878522229
2016-05-28,116,571,20.31523642732049
2016-05-29,233,692,33.67052023121387
2016-05-30,293,818,35.81907090464548
2016-05-31,285,835,34.13173652694611
2016-06-01,175,668,26.19760479041916
2016-06-02,125,674,18.5459940652819
2016-06-03,117,566,20.671378091872793
2016-06-04,71,316,22.468354430379748
2016-06-05,106,476,22.268907563025213
2016-06-06,267,768,34.765625
2016-06-07,269,830,32.40963855421687
2016-06-08,186,613,30.342577487765087
2016-06-09,184,1034,17.79497098646035
2016-06-10,123,510,24.11764705882353
2016-06-11,83,515,16.116504854368934
2016-06-12,133,1197,11.11111111111111
2016-06-13,107,630,16.984126984126984
2016-06-14,170,899,18.909899888765295
2016-06-15,96,553,17.359855334538878
2016-06-16,182,882,20.634920634920633
2016-06-17,102,559,18.246869409660107
2016-06-18,110,738,14.905149051490515
2016-06-19,408,2045,19.951100244498775
2016-06-20,231,1322,17.473524962178516
2016-06-21,254,1334,19.04047976011994
2016-06-22,409,1551,26.370083816892326
2016-06-23,229,1225,18.693877551020407
2016-06-24,1658,6551,25.309113112501908
2016-06-25,401,1910,20.99476439790576
2016-06-26,360,1556,23.13624678663239
2016-06-27,269,1182,22.7580372250423
2016-06-28,266,1780,14.9438202247191
2016-06-29,229,1698,13.48645465253239
2016-06-30,213,1056,20.170454545454543
2016-07-01,104,632,16.455696202531644
2016-07-02,89,763,11.66448230668414
2016-07-03,90,521,17.274472168905948
2016-07-04,120,873,13.745704467353953
2016-07-05,93,779,11.938382541720154
2016-07-06,73,449,16.258351893095767
2016-07-07,120,477,25.157232704402517
2016-07-08,62,354,17.51412429378531
2016-07-09,61,384,15.885416666666666
2016-07-10,91,709,12.834978843441466
2016-07-11,76,453,16.777041942604857
2016-07-12,60,398,15.07537688442211
2016-07-13,71,410,17.317073170731707
2016-07-14,209,485,43.09278350515464
2016-07-15,121,412,29.36893203883495
2016-07-16,64,226,28.31858407079646
2016-07-17,94,530,17.735849056603772
2016-07-18,97,513,18.9083820662768
2016-07-19,96,486,19.753086419753085
2016-07-20,229,480,47.708333333333336
2016-07-21,103,341,30.205278592375368
2016-07-22,117,395,29.620253164556964
2016-07-23,71,256,27.734375
2016-07-24,72,320,22.5
2016-07-25,124,518,23.93822393822394
2016-07-26,150,520,28.846153846153843
2016-07-27,99,599,16.52754590984975
2016-07-28,117,1197,9.774436090225564
2016-07-29,119,456,26.096491228070175
2016-07-30,55,183,30.05464480874317
2016-07-31,64,250,25.6
2016-08-01,138,402,34.32835820895522
2016-08-02,117,820,14.268292682926829
2016-08-03,320,941,34.00637619553667
2016-08-04,182,514,35.40856031128405
2016-08-05,87,319,27.27272727272727
2016-08-06,38,208,18.269230769230766
2016-08-07,34,183,18.579234972677597
2016-08-08,41,210,19.523809523809526
2016-08-09,54,203,26.60098522167488
2016-08-10,38,228,16.666666666666664
2016-08-11,46,221,20.81447963800905
2016-08-12,45,166,27.10843373493976
2016-08-13,38,199,19.09547738693467
2016-08-14,44,231,19.047619047619047
2016-08-15,70,249,28.11244979919679
2016-08-16,55,324,16.97530864197531
2016-08-17,34,245,13.877551020408163
2016-08-18,72,369,19.51219512195122
2016-08-19,72,462,15.584415584415584
2016-08-20,34,310,10.967741935483872
2016-08-21,45,260,17.307692307692307
2016-08-22,167,360,46.38888888888889
2016-08-23,184,391,47.05882352941176
2016-08-24,77,237,32.48945147679325
2016-08-25,66,372,17.741935483870968
2016-08-26,253,433,58.429561200923786
2016-08-27,60,210,28.57142857142857
2016-08-28,66,354,18.64406779661017
2016-08-29,60,730,8.21917808219178
2016-08-30,223,643,34.68118195956454
2016-08-31,125,433,28.868360277136258
2016-09-01,144,493,29.20892494929006
2016-09-02,123,1138,10.808435852372583
2016-09-03,60,305,19.672131147540984
2016-09-04,317,1719,18.440954043048283
2016-09-05,153,815,18.773006134969325
2016-09-06,145,525,27.61904761904762
2016-09-07,626,1819,34.41451346893898
2016-09-08,934,1341,69.64951528709918
2016-09-09,126,368,34.23913043478261
2016-09-10,74,308,24.025974025974026
2016-09-11,96,291,32.98969072164948
2016-09-12,87,493,17.647058823529413
2016-09-13,98,608,16.11842105263158
2016-09-14,77,600,12.833333333333332
2016-09-15,70,390,17.94871794871795
2016-09-16,70,443,15.80135440180587
2016-09-17,89,866,10.277136258660507
2016-09-18,97,854,11.358313817330211
2016-09-19,163,1233,13.21978913219789
2016-09-20,210,1363,15.407190022010273
2016-09-21,319,1086,29.37384898710866
2016-09-22,97,702,13.817663817663817
2016-09-23,77,486,15.843621399176955
2016-09-24,65,323,20.123839009287924
2016-09-25,184,469,39.23240938166311
2016-09-26,117,532,21.992481203007518
2016-09-27,75,408,18.38235294117647
2016-09-28,82,425,19.294117647058822
2016-09-29,59,339,17.404129793510325
2016-09-30,56,406,13.793103448275861
