Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2020-02-10,2163,382,451,1748,219,691,604,49,222,2996,2658,875
2020-02-11,15830,878,2831,12593,647,2695,5997,416,895,19539,15935,7308
2020-02-12,12399,1213,2264,7659,679,1905,2897,338,408,15876,10243,3643
2020-02-13,7684,627,1446,4391,355,720,1657,226,276,9757,5466,2159
2020-02-14,4660,377,1162,1303,148,272,2777,260,566,6199,1723,3603
2020-02-15,1904,271,320,4340,337,1150,2996,637,725,2495,5827,4358
2020-02-16,5092,442,1553,2453,190,489,608,86,158,7087,3132,852
2020-02-17,3859,1024,1035,2421,593,760,592,140,156,5918,3774,888
2020-02-18,4063,272,1127,4508,210,1197,2000,179,420,5462,5915,2599
2020-02-19,3034,283,651,1111,261,380,901,95,210,3968,1752,1206
2020-02-20,1919,257,434,4647,277,938,1231,132,254,2610,5862,1617
2020-02-21,2104,238,368,1760,183,399,40498,165,26869,2710,2342,67532
2020-02-22,1869,339,274,994,211,222,1430,211,168,2482,1427,1809
2020-02-23,3357,338,731,534,92,72,456,72,82,4426,698,610
2020-02-24,2379,331,621,1157,186,170,740,124,172,3331,1513,1036
2020-02-25,1441,212,194,1625,153,311,589,98,98,1847,2089,785
2020-02-26,3452,346,981,1066,111,356,2172,206,701,4779,1533,3079
2020-02-27,11480,552,2192,837,104,221,605,121,119,14224,1162,845
2020-02-28,3048,273,878,1907,194,603,839,89,202,4199,2704,1130
2020-02-29,2360,609,441,2071,217,319,817,83,171,3410,2607,1071
2020-03-01,2628,240,592,875,246,159,470,86,105,3460,1280,661
2020-03-02,7434,583,1822,2494,150,207,662,63,106,9839,2851,831
2020-03-03,6256,320,1510,1799,152,360,3311,179,820,8086,2311,4310
2020-03-04,2383,156,572,3788,447,1068,675,78,215,3111,5303,968
2020-03-05,2535,235,630,1783,335,347,738,89,89,3400,2465,916
2020-03-06,4080,302,819,952,147,154,1418,86,296,5201,1253,1800
2020-03-07,3011,694,445,1711,166,607,779,72,136,4150,2484,987
2020-03-08,7051,410,1584,824,107,124,872,76,247,9045,1055,1195
2020-03-09,4694,259,1038,2954,458,655,1010,93,196,5991,4067,1299
2020-03-10,4710,535,766,3677,553,812,1610,216,343,6011,5042,2169
2020-03-11,3998,228,581,902,92,91,947,146,184,4807,1085,1277
2020-03-12,1364,140,411,1335,168,225,502,70,95,1915,1728,667
2020-03-13,1714,151,470,869,41,117,520,135,90,2335,1027,745
2020-03-14,2229,180,232,482,121,77,500,46,297,2641,680,843
2020-03-15,619,180,122,1198,110,253,364,50,73,921,1561,487
2020-03-16,1238,99,321,900,62,111,1165,112,458,1658,1073,1735
2020-03-17,1137,155,293,649,67,102,295,91,137,1585,818,523
2020-03-18,1372,117,123,1269,122,306,337,29,127,1612,1697,493
2020-03-19,1361,110,106,3122,262,443,174,49,50,1577,3827,273
2020-03-20,4070,221,790,791,97,76,303,44,103,5081,964,450
