Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2016-03-04,436,79,392,317,47,201,981,193,681,907,565,1855
2016-03-05,526,66,402,376,47,604,672,124,647,994,1027,1443
2016-03-06,1164,77,513,521,66,467,988,142,502,1754,1054,1632
2016-03-07,640,92,373,643,47,595,737,172,668,1105,1285,1577
2016-03-08,693,141,356,324,83,205,982,160,809,1190,612,1951
2016-03-09,938,129,667,650,112,554,1232,253,729,1734,1316,2214
2016-03-10,848,160,542,781,122,711,1223,213,1117,1550,1614,2553
2016-03-11,1619,165,1040,4093,232,1930,1318,230,1060,2824,6255,2608
2016-03-12,440,89,427,253,42,234,520,101,553,956,529,1174
2016-03-13,753,89,678,205,62,264,750,125,747,1520,531,1622
2016-03-14,841,166,1031,804,130,1324,1241,188,1138,2038,2258,2567
2016-03-15,546,87,559,378,88,581,1239,175,921,1192,1047,2335
2016-03-16,744,147,660,340,61,169,834,176,836,1551,570,1846
2016-03-17,853,131,991,232,43,199,940,134,958,1975,474,2032
2016-03-18,523,83,436,379,62,325,966,148,940,1042,766,2054
2016-03-19,693,103,450,393,63,259,963,163,796,1246,715,1922
2016-03-20,578,57,415,364,71,373,1134,143,806,1050,808,2083
2016-03-21,509,63,357,781,101,1014,4227,286,3537,929,1896,8050
2016-03-22,588,111,523,786,117,726,2570,330,2266,1222,1629,5166
2016-03-23,923,128,794,1621,125,1141,1912,275,1673,1845,2887,3860
2016-03-24,1028,89,537,628,87,328,1208,166,947,1654,1043,2321
2016-03-25,749,252,658,385,48,296,802,136,789,1659,729,1727
2016-03-26,569,68,352,612,73,415,696,140,726,989,1100,1562
2016-03-27,539,72,332,544,43,371,459,96,390,943,958,945
2016-03-28,422,67,355,506,91,619,1163,176,1157,844,1216,2496
2016-03-29,739,84,837,320,85,328,1011,132,940,1660,733,2083
2016-03-30,954,143,1063,1857,269,1821,1899,226,1321,2160,3947,3446
2016-03-31,897,135,671,476,77,581,5129,407,1812,1703,1134,7348
2016-04-01,1480,176,464,270,72,199,1111,182,996,2120,541,2289
2016-04-02,599,77,383,469,47,235,1295,188,813,1059,751,2296
2016-04-03,717,76,567,1440,102,964,827,136,507,1360,2506,1470
2016-04-04,1890,1066,933,3656,394,1683,1983,297,1450,3889,5733,3730
2016-04-05,914,128,563,1737,187,1214,1474,338,1262,1605,3138,3074
2016-04-06,709,123,456,424,95,276,1416,227,704,1288,795,2347
2016-04-07,748,181,674,500,95,624,1196,149,850,1603,1219,2195
2016-04-08,1347,182,842,698,113,864,1371,220,1126,2371,1675,2717
2016-04-09,1587,152,1035,1184,119,471,2254,318,1958,2774,1774,4530
2016-04-10,620,91,507,398,99,255,1371,232,1230,1218,752,2833
2016-04-11,627,107,394,3630,209,1653,903,158,836,1128,5492,1897
2016-04-12,792,128,530,577,132,289,1432,189,909,1450,998,2530
2016-04-13,481,90,450,215,45,144,1786,198,1754,1021,404,3738
2016-04-14,340,82,330,344,109,208,894,147,898,752,661,1939
2016-04-15,1917,220,1269,513,109,400,1963,598,1785,3406,1022,4346
2016-04-16,483,88,438,422,100,473,964,211,907,1009,995,2082
2016-04-17,402,88,274,473,72,274,3131,252,2106,764,819,5489
2016-04-18,737,121,675,835,90,519,1971,300,1119,1533,1444,3390
2016-04-19,768,133,702,360,84,216,1534,204,1930,1603,660,3668
2016-04-20,1178,171,655,396,70,304,1309,215,1412,2004,770,2936
2016-04-21,955,138,889,1078,84,668,1753,240,1587,1982,1830,3580
2016-04-22,2535,283,1931,955,122,813,2794,308,2981,4749,1890,6083
2016-04-23,9844,542,4175,482,93,608,1262,203,1910,14561,1183,3375
2016-04-24,339,86,424,316,99,295,600,152,509,849,710,1261
2016-04-25,580,96,435,322,72,331,1320,199,1065,1111,725,2584
2016-04-26,948,147,863,473,79,237,3570,437,1700,1958,789,5707
2016-04-27,717,119,534,473,81,321,3541,519,1813,1370,875,5873
2016-04-28,667,84,307,688,121,503,1266,240,1094,1058,1312,2600
2016-04-29,846,142,463,698,75,387,949,168,863,1451,1160,1980
2016-04-30,508,71,331,202,38,177,521,106,459,910,417,1086
2016-05-01,248,53,277,256,49,252,431,83,290,578,557,804
2016-05-02,11463,224,2497,429,87,340,904,116,773,14184,856,1793
2016-05-03,646,85,404,716,111,665,1398,208,1589,1135,1492,3195
2016-05-04,644,139,551,961,144,1037,1214,321,1391,1334,2142,2926
2016-05-05,738,126,541,475,104,349,1398,267,1005,1405,928,2670
2016-05-06,1184,140,733,467,59,232,1411,233,1330,2057,758,2974
2016-05-07,1327,98,522,223,54,181,454,124,351,1947,458,929
2016-05-08,400,72,312,279,80,207,703,149,697,784,566,1549
2016-05-09,2359,179,3699,420,78,427,2395,219,2614,6237,925,5228
2016-05-10,2844,207,2579,886,121,696,1766,319,1896,5630,1703,3981
2016-05-11,12076,199,8685,388,84,370,2275,540,2707,20960,842,5522
2016-05-12,1954,102,891,287,79,222,1171,396,1188,2947,588,2755
2016-05-13,961,88,776,296,80,237,2276,195,1697,1825,613,4168
2016-05-14,547,89,430,253,44,143,1331,223,1399,1066,440,2953
2016-05-15,914,107,757,371,78,225,1276,186,1042,1778,674,2504
2016-05-16,3573,135,941,2189,179,1486,1435,223,1282,4649,3854,2940
2016-05-17,771,103,639,655,159,367,1324,236,1361,1513,1181,2921
2016-05-18,1970,147,1232,600,135,579,1389,288,1170,3349,1314,2847
2016-05-19,633,121,524,696,114,556,919,157,764,1278,1366,1840
2016-05-20,1424,152,1165,396,61,219,2479,418,1859,2741,676,4756
2016-05-21,1213,143,684,240,49,157,1200,178,1335,2040,446,2713
2016-05-22,340,68,180,305,54,307,2412,228,1632,588,666,4272
2016-05-23,676,112,635,535,77,397,2585,304,2703,1423,1009,5592
2016-05-24,782,148,630,294,94,206,1302,292,1239,1560,594,2833
2016-05-25,1728,252,1267,515,133,520,1277,190,1277,3247,1168,2744
2016-05-26,536,81,397,553,94,534,2348,284,1720,1014,1181,4352
2016-05-27,794,130,890,283,71,162,2111,483,1740,1814,516,4334
2016-05-28,690,113,466,216,41,152,844,120,822,1269,409,1786
2016-05-29,439,107,394,272,54,192,1113,166,832,940,518,2111
2016-05-30,663,75,558,540,85,342,803,150,670,1296,967,1623
