Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2016-02-05,559,232,738,531,134,702,1150,300,1797,2240,666,3237
2016-02-06,389,112,507,458,113,1387,673,199,1735,1520,424,3629
2016-02-07,386,135,908,181,83,334,477,146,995,1044,364,2237
2016-02-08,447,180,629,550,277,779,1103,507,1700,2100,964,3108
2016-02-09,673,253,1035,555,119,835,768,221,1491,1996,593,3361
2016-02-10,593,184,1160,280,125,524,1272,340,2612,2145,649,4296
2016-02-11,615,273,1492,272,99,390,1064,270,2847,1951,642,4729
2016-02-12,1383,182,1683,453,102,674,1084,306,2041,2920,590,4398
2016-02-13,614,211,820,309,84,666,875,304,2205,1798,599,3691
2016-02-14,789,292,949,611,209,919,1153,369,1980,2553,870,3848
2016-02-15,860,323,1168,399,199,673,1178,400,1886,2437,922,3727
2016-02-16,531,169,979,340,98,455,1098,381,1741,1969,648,3175
2016-02-17,647,249,787,452,178,740,1613,487,2975,2712,914,4502
2016-02-18,597,295,851,517,259,789,1545,379,2442,2659,933,4082
2016-02-19,1140,318,1344,513,182,663,1788,536,3063,3441,1036,5070
2016-02-20,1247,428,1478,616,193,594,2336,667,3204,4199,1288,5276
2016-02-21,1708,756,2188,1285,763,1524,1977,681,2388,4970,2200,6100
2016-02-22,1396,594,1855,649,272,1052,2653,790,3385,4698,1656,6292
2016-02-23,1783,839,2320,634,194,876,2035,658,2859,4452,1691,6055
2016-02-24,1233,370,1817,566,187,854,1881,633,2745,3680,1190,5416
2016-02-25,1218,335,1682,642,197,951,1490,446,2141,3350,978,4774
2016-02-26,1910,315,1631,989,237,1378,1468,495,2114,4367,1047,5123
2016-02-27,827,324,1017,611,190,958,1070,311,1695,2508,825,3670
2016-02-28,603,231,767,846,349,1127,1009,380,1494,2458,960,3388
2016-02-29,693,254,1514,605,219,713,1900,518,2796,3198,991,5023
2016-03-01,876,231,1097,517,198,669,1317,392,2095,2710,821,3861
2016-03-02,990,553,2409,527,150,722,1828,555,3526,3345,1258,6657
2016-03-03,1729,336,1302,1380,749,1519,3419,2845,5361,6528,3930,8182
2016-03-04,844,180,1064,281,122,350,1197,358,1641,2322,660,3055
2016-03-05,520,177,710,199,76,311,596,194,993,1315,447,2014
2016-03-06,754,291,1091,169,117,238,1216,328,1843,2139,736,3172
2016-03-07,752,188,805,296,147,477,1183,304,1714,2231,639,2996
2016-03-08,854,208,1188,343,103,494,1638,453,2827,2835,764,4509
2016-03-09,923,417,1161,586,187,732,1530,372,2019,3039,976,3912
2016-03-10,795,244,1015,468,169,655,2026,401,3681,3289,814,5351
2016-03-11,1086,241,1471,588,132,863,1408,344,2161,3082,717,4495
2016-03-12,891,339,1217,549,167,784,813,312,1304,2253,818,3305
2016-03-13,633,169,817,683,214,829,1247,385,2154,2563,768,3800
2016-03-14,892,306,1122,393,159,563,1496,461,2281,2781,926,3966
2016-03-15,865,225,1178,418,113,615,2220,419,2133,3503,757,3926
2016-03-16,1340,285,1496,946,240,1169,1673,373,2718,3959,898,5383
2016-03-17,889,231,1031,426,162,678,1141,306,1535,2456,699,3244
2016-03-18,2693,297,2543,685,164,1051,1754,333,2474,5132,794,6068
2016-03-19,1345,283,1676,695,148,813,883,271,1251,2923,702,3740
2016-03-20,748,186,861,731,144,777,991,307,1489,2470,637,3127
2016-03-21,852,283,1177,703,146,1211,1975,572,3060,3530,1001,5448
2016-03-22,1058,225,1240,534,193,643,1347,423,2318,2939,841,4201
2016-03-23,1477,289,1807,732,249,1089,1694,462,2868,3903,1000,5764
2016-03-24,789,282,1297,945,220,1825,1595,396,2591,3329,898,5713
2016-03-25,577,181,787,316,112,460,711,185,1099,1604,478,2346
2016-03-26,544,148,578,822,258,1650,759,208,1015,2125,614,3243
2016-03-27,309,88,479,537,215,906,896,429,1303,1742,732,2688
2016-03-28,527,171,652,312,161,436,745,268,1187,1584,600,2275
2016-03-29,675,185,858,962,296,1525,2053,458,2987,3690,939,5370
2016-03-30,1879,484,2880,666,179,999,2907,815,4854,5452,1478,8733
2016-03-31,1971,472,2759,1267,317,2254,2586,841,4808,5824,1630,9821
2016-04-01,866,277,1265,441,133,652,1792,460,2644,3099,870,4561
2016-04-02,622,178,960,480,141,799,1224,291,1695,2326,610,3454
2016-04-03,647,207,980,608,175,1185,2446,489,4321,3701,871,6486
2016-04-04,1137,268,1642,687,181,1148,2678,648,4705,4502,1097,7495
2016-04-05,1175,295,1692,458,180,986,1285,311,2393,2918,786,5071
2016-04-06,1290,712,1398,562,208,688,1765,545,2619,3617,1465,4705
2016-04-07,826,284,1076,616,169,773,1753,408,2923,3195,861,4772
2016-04-08,844,241,1012,1121,144,1097,1515,348,2088,3480,733,4197
