Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2020-02-02,1954,181,431,2041,181,697,1247,102,335,5242,464,1463
2020-02-03,5224,236,724,616,127,145,901,54,265,6741,417,1134
2020-02-04,3242,176,754,570,65,148,992,84,232,4804,325,1134
2020-02-05,3606,356,835,863,99,392,864,74,279,5333,529,1506
2020-02-06,9104,1869,2290,3460,381,790,6994,1048,1415,19558,3298,4495
2020-02-07,7780,648,603,1255,216,303,712,85,165,9747,949,1071
2020-02-08,5207,397,1067,664,96,104,240,41,102,6111,534,1273
2020-02-09,2188,183,687,881,93,324,614,55,127,3683,331,1138
2020-02-10,2163,382,451,1748,219,691,604,49,222,4515,650,1364
2020-02-11,15830,878,2831,12593,647,2695,5997,416,895,34420,1941,6421
2020-02-12,12399,1213,2264,7659,679,1905,2897,338,408,22955,2230,4577
2020-02-13,7684,627,1446,4391,355,720,1657,226,276,13732,1208,2442
2020-02-14,4660,377,1162,1303,148,272,2777,260,566,8740,785,2000
2020-02-15,1904,271,320,4340,337,1150,2996,637,725,9240,1245,2195
2020-02-16,5092,442,1553,2453,190,489,608,86,158,8153,718,2200
2020-02-17,3859,1024,1035,2421,593,760,592,140,156,6872,1757,1951
2020-02-18,4063,272,1127,4508,210,1197,2000,179,420,10571,661,2744
2020-02-19,3034,283,651,1111,261,380,901,95,210,5046,639,1241
2020-02-20,1919,257,434,4647,277,938,1231,132,254,7797,666,1626
2020-02-21,2104,238,368,1760,183,399,40498,165,26869,44362,586,27636
2020-02-22,1869,339,274,994,211,222,1430,211,168,4293,761,664
2020-02-23,3357,338,731,534,92,72,456,72,82,4347,502,885
2020-02-24,2379,331,621,1157,186,170,740,124,172,4276,641,963
2020-02-25,1441,212,194,1625,153,311,589,98,98,3655,463,603
2020-02-26,3452,346,981,1066,111,356,2172,206,701,6690,663,2038
2020-02-27,11480,552,2192,837,104,221,605,121,119,12922,777,2532
2020-02-28,3048,273,878,1907,194,603,839,89,202,5794,556,1683
2020-02-29,2360,609,441,2071,217,319,817,83,171,5248,909,931
2020-03-01,2628,240,592,875,246,159,470,86,105,3973,572,856
2020-03-02,7434,583,1822,2494,150,207,662,63,106,10590,796,2135
2020-03-03,6256,320,1510,1799,152,360,3311,179,820,11366,651,2690
2020-03-04,2383,156,572,3788,447,1068,675,78,215,6846,681,1855
2020-03-05,2535,235,630,1783,335,347,738,89,89,5056,659,1066
2020-03-06,4080,302,819,952,147,154,1418,86,296,6450,535,1269
2020-03-07,3011,694,445,1711,166,607,779,72,136,5501,932,1188
2020-03-08,7051,410,1584,824,107,124,872,76,247,8747,593,1955
2020-03-09,4694,259,1038,2954,458,655,1010,93,196,8658,810,1889
2020-03-10,4710,535,766,3677,553,812,1610,216,343,9997,1304,1921
2020-03-11,3998,228,581,902,92,91,947,146,184,5847,466,856
2020-03-12,1364,140,411,1335,168,225,502,70,95,3201,378,731
2020-03-13,1714,151,470,869,41,117,520,135,90,3103,327,677
2020-03-14,2229,180,232,482,121,77,500,46,297,3211,347,606
2020-03-15,619,180,122,1198,110,253,364,50,73,2181,340,448
2020-03-16,1238,99,321,900,62,111,1165,112,458,3303,273,890
2020-03-17,1137,155,293,649,67,102,295,91,137,2081,313,532
2020-03-18,1372,117,123,1269,122,306,337,29,127,2978,268,556
2020-03-19,1361,110,106,3122,262,443,174,49,50,4657,421,599
2020-03-20,4070,221,790,791,97,76,303,44,103,5164,362,969
2020-03-21,2050,188,212,802,84,167,136,25,7,2988,297,386
2020-03-22,7280,138,753,386,117,69,115,30,13,7781,285,835
2020-03-23,599,74,115,509,40,71,270,36,55,1378,150,241
2020-03-24,1138,155,464,491,57,83,324,52,53,1953,264,600
2020-03-25,2151,184,257,735,119,455,251,51,43,3137,354,755
2020-03-26,2194,234,640,640,59,220,748,58,144,3582,351,1004
2020-03-27,867,114,110,5002,259,2289,213,94,127,6082,467,2526
2020-03-28,2044,209,699,463,70,68,210,40,19,2717,319,786
2020-03-29,892,99,147,718,153,233,303,31,89,1913,283,469
2020-03-30,3875,787,904,276,62,23,733,74,104,4884,923,1031
2020-03-31,1957,186,376,1557,134,376,1234,95,450,4748,415,1202
2020-04-01,1076,104,224,725,104,89,490,28,148,2291,236,461
2020-04-02,1785,251,778,454,87,84,901,79,1044,3140,417,1906
2020-04-03,1803,265,222,264,46,77,281,57,50,2348,368,349
2020-04-04,3065,690,321,1613,381,180,1763,287,81,6441,1358,582
2020-04-05,1358,294,157,815,130,91,283,81,31,2456,505,279
2020-04-06,1364,262,192,654,143,159,383,89,38,2401,494,389
2020-04-07,1249,199,218,473,87,56,504,83,29,2226,369,303
2020-04-08,1843,96,180,10006,911,2465,538,55,140,12387,1062,2785
2020-04-09,726,111,169,824,75,580,746,60,225,2296,246,974
2020-04-10,1838,135,286,397,49,70,100,19,33,2335,203,389
2020-04-11,1057,92,164,318,92,51,193,37,41,1568,221,256
2020-04-12,1229,190,167,468,99,52,3817,453,1773,5514,742,1992
2020-04-13,2718,247,471,805,147,114,429,133,127,3952,527,712
2020-04-14,1750,186,335,391,94,59,516,72,127,2657,352,521
2020-04-15,1021,117,190,671,142,167,176,24,62,1868,283,419
