Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2016-07-20,101,12,151,97,42,129,196,26,173,394,80,453
2016-07-21,99,19,139,149,11,94,236,51,154,484,81,387
2016-07-22,95,30,72,96,28,59,213,58,299,404,116,430
2016-07-23,38,31,24,34,13,18,104,40,98,176,84,140
2016-07-24,119,22,128,98,17,41,98,49,147,315,88,316
2016-07-25,132,85,121,81,41,103,1075,171,2124,1288,297,2348
2016-07-26,284,69,291,153,27,207,544,209,478,981,305,976
2016-07-27,344,55,301,80,44,157,399,74,526,823,173,984
2016-07-28,223,25,194,379,30,197,374,51,506,976,106,897
2016-07-29,119,39,141,126,17,97,483,160,489,728,216,727
2016-07-30,33,9,22,19,6,21,110,30,131,162,45,174
2016-07-31,750,234,1745,36,11,42,83,29,112,869,274,1899
2016-08-01,118,46,93,80,25,51,291,133,421,489,204,565
2016-08-02,846,357,821,170,37,95,1032,198,988,2048,592,1904
2016-08-03,632,66,741,394,149,789,615,133,882,1641,348,2412
2016-08-04,266,24,263,365,113,475,195,44,239,826,181,977
2016-08-05,89,12,64,180,18,143,109,21,116,378,51,323
2016-08-06,15,3,26,74,34,89,138,28,170,227,65,285
2016-08-07,20,14,12,20,7,25,160,29,207,200,50,244
2016-08-08,66,6,72,27,5,31,215,30,1258,308,41,1361
2016-08-09,89,17,50,71,17,758,46,18,76,206,52,884
2016-08-10,113,14,135,34,16,13,108,33,98,255,63,246
2016-08-11,70,9,97,229,27,217,279,28,268,578,64,582
2016-08-12,137,13,51,119,22,152,129,16,146,385,51,349
2016-08-13,166,18,173,16,8,14,77,31,91,259,57,278
2016-08-14,95,20,81,33,6,33,410,76,386,538,102,500
2016-08-15,153,74,350,5,7,6,70,14,75,228,95,431
2016-08-16,1893,413,2184,55,13,53,57,21,59,2005,447,2296
2016-08-17,120,15,128,222,34,193,148,87,143,490,136,464
2016-08-18,155,22,150,90,19,23,200,60,288,445,101,461
2016-08-19,85,21,58,177,53,177,369,111,397,631,185,632
2016-08-20,121,31,148,16,11,8,99,192,729,236,234,885
2016-08-21,178,22,165,80,18,117,203,33,225,461,73,507
2016-08-22,125,18,110,148,28,282,112,24,114,385,70,506
2016-08-23,40,14,46,66,7,78,388,49,399,494,70,523
2016-08-24,87,21,93,15,17,37,163,34,207,265,72,337
2016-08-25,84,33,81,134,26,84,323,38,329,541,97,494
2016-08-26,141,15,108,57,18,83,47,23,61,245,56,252
2016-08-27,77,23,80,25,12,20,73,12,62,175,47,162
2016-08-28,1106,89,425,75,28,37,169,77,844,1350,194,1306
2016-08-29,157,54,127,79,18,64,151,77,227,387,149,418
2016-08-30,195,72,185,134,95,244,150,49,145,479,216,574
2016-08-31,84,30,106,240,74,349,260,62,324,584,166,779
2016-09-01,207,33,213,57,13,90,229,49,242,493,95,545
2016-09-02,126,23,123,501,82,573,744,488,775,1371,593,1471
2016-09-03,115,24,109,52,3,24,163,38,194,330,65,327
2016-09-04,731,258,761,533,137,933,1325,482,1231,2589,877,2925
2016-09-05,309,43,406,207,52,329,631,253,566,1147,348,1301
2016-09-06,1009,100,830,228,86,288,780,235,749,2017,421,1867
2016-09-07,537,208,544,2503,354,1697,1286,235,1902,4326,797,4143
2016-09-08,241,51,214,5796,474,4423,255,47,310,6292,572,4947
2016-09-09,228,34,336,130,18,120,181,29,179,539,81,635
2016-09-10,191,34,193,80,25,74,320,25,338,591,84,605
2016-09-11,200,51,181,70,14,86,194,56,339,464,121,606
2016-09-12,224,43,220,337,70,360,564,220,619,1125,333,1199
2016-09-13,1956,109,2209,70,30,137,241,168,336,2267,307,2682
2016-09-14,398,125,393,269,113,151,532,103,635,1199,341,1179
2016-09-15,257,19,213,364,34,305,289,50,346,910,103,864
2016-09-16,217,15,267,33,9,56,188,31,243,438,55,566
2016-09-17,941,212,757,100,33,105,843,304,788,1884,549,1650
2016-09-18,279,100,326,181,59,217,578,701,616,1038,860,1159
2016-09-19,627,396,620,252,55,364,1079,296,1152,1958,747,2136
2016-09-20,231,70,284,134,64,149,762,257,878,1127,391,1311
2016-09-21,330,67,377,83,28,76,221,117,251,634,212,704
2016-09-22,394,47,376,175,32,197,405,97,433,974,176,1006
2016-09-23,363,59,371,120,17,128,266,48,246,749,124,745
2016-09-24,89,10,73,41,8,46,138,21,173,268,39,292
2016-09-25,194,31,265,94,30,111,153,48,142,441,109,518
2016-09-26,153,51,128,513,452,415,233,52,264,899,555,807
2016-09-27,404,41,333,179,42,236,357,85,332,940,168,901
2016-09-28,216,33,187,157,41,227,206,46,777,579,120,1191
2016-09-29,414,49,281,120,29,87,276,34,276,810,112,644
2016-09-30,199,34,216,42,9,47,147,68,185,388,111,448
