Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_nlikes,Total_nreplies,Total_nretweets
2016-02-19,2591,338,1157,247,48,117,889,163,904,3727,549,2178
2016-02-20,745,88,333,460,45,249,1063,129,1074,2268,262,1656
2016-02-21,406,66,360,239,37,208,1075,144,903,1720,247,1471
2016-02-22,343,52,309,317,45,243,1034,139,947,1694,236,1499
2016-02-23,8047,381,1486,344,65,380,1379,186,1390,9770,632,3256
2016-02-24,443,79,431,237,49,133,774,164,654,1454,292,1218
2016-02-25,707,120,992,330,73,337,3264,166,1749,4301,359,3078
2016-02-26,480,101,484,307,54,310,587,103,741,1374,258,1535
2016-02-27,516,116,490,314,57,351,503,118,494,1333,291,1335
2016-02-28,595,89,543,226,53,167,1970,124,1303,2791,266,2013
2016-02-29,9342,527,4555,3373,204,1235,5340,801,2814,18055,1532,8604
2016-03-01,3420,227,1924,644,75,411,981,229,886,5045,531,3221
2016-03-02,1977,212,1465,594,87,673,1152,186,964,3723,485,3102
2016-03-03,769,134,525,478,91,289,987,187,743,2234,412,1557
2016-03-04,436,79,392,317,47,201,981,193,681,1734,319,1274
2016-03-05,526,66,402,376,47,604,672,124,647,1574,237,1653
2016-03-06,1164,77,513,521,66,467,988,142,502,2673,285,1482
2016-03-07,640,92,373,643,47,595,737,172,668,2020,311,1636
2016-03-08,693,141,356,324,83,205,982,160,809,1999,384,1370
2016-03-09,938,129,667,650,112,554,1232,253,729,2820,494,1950
2016-03-10,848,160,542,781,122,711,1223,213,1117,2852,495,2370
2016-03-11,1619,165,1040,4093,232,1930,1318,230,1060,7030,627,4030
2016-03-12,440,89,427,253,42,234,520,101,553,1213,232,1214
2016-03-13,753,89,678,205,62,264,750,125,747,1708,276,1689
2016-03-14,841,166,1031,804,130,1324,1241,188,1138,2886,484,3493
2016-03-15,546,87,559,378,88,581,1239,175,921,2163,350,2061
2016-03-16,744,147,660,340,61,169,834,176,836,1918,384,1665
2016-03-17,853,131,991,232,43,199,940,134,958,2025,308,2148
2016-03-18,523,83,436,379,62,325,966,148,940,1868,293,1701
2016-03-19,693,103,450,393,63,259,963,163,796,2049,329,1505
2016-03-20,578,57,415,364,71,373,1134,143,806,2076,271,1594
2016-03-21,509,63,357,781,101,1014,4227,286,3537,5517,450,4908
2016-03-22,588,111,523,786,117,726,2570,330,2266,3944,558,3515
2016-03-23,923,128,794,1621,125,1141,1912,275,1673,4456,528,3608
2016-03-24,1028,89,537,628,87,328,1208,166,947,2864,342,1812
2016-03-25,749,252,658,385,48,296,802,136,789,1936,436,1743
2016-03-26,569,68,352,612,73,415,696,140,726,1877,281,1493
2016-03-27,539,72,332,544,43,371,459,96,390,1542,211,1093
2016-03-28,422,67,355,506,91,619,1163,176,1157,2091,334,2131
2016-03-29,739,84,837,320,85,328,1011,132,940,2070,301,2105
2016-03-30,954,143,1063,1857,269,1821,1899,226,1321,4710,638,4205
2016-03-31,897,135,671,476,77,581,5129,407,1812,6502,619,3064
2016-04-01,1480,176,464,270,72,199,1111,182,996,2861,430,1659
2016-04-02,599,77,383,469,47,235,1295,188,813,2363,312,1431
2016-04-03,717,76,567,1440,102,964,827,136,507,2984,314,2038
2016-04-04,1890,1066,933,3656,394,1683,1983,297,1450,7529,1757,4066
2016-04-05,914,128,563,1737,187,1214,1474,338,1262,4125,653,3039
2016-04-06,709,123,456,424,95,276,1416,227,704,2549,445,1436
2016-04-07,748,181,674,500,95,624,1196,149,850,2444,425,2148
2016-04-08,1347,182,842,698,113,864,1371,220,1126,3416,515,2832
2016-04-09,1587,152,1035,1184,119,471,2254,318,1958,5025,589,3464
2016-04-10,620,91,507,398,99,255,1371,232,1230,2389,422,1992
2016-04-11,627,107,394,3630,209,1653,903,158,836,5160,474,2883
2016-04-12,792,128,530,577,132,289,1432,189,909,2801,449,1728
2016-04-13,481,90,450,215,45,144,1786,198,1754,2482,333,2348
2016-04-14,340,82,330,344,109,208,894,147,898,1578,338,1436
2016-04-15,1917,220,1269,513,109,400,1963,598,1785,4393,927,3454
2016-04-16,483,88,438,422,100,473,964,211,907,1869,399,1818
2016-04-17,402,88,274,473,72,274,3131,252,2106,4006,412,2654
2016-04-18,737,121,675,835,90,519,1971,300,1119,3543,511,2313
2016-04-19,768,133,702,360,84,216,1534,204,1930,2662,421,2848
2016-04-20,1178,171,655,396,70,304,1309,215,1412,2883,456,2371
2016-04-21,955,138,889,1078,84,668,1753,240,1587,3786,462,3144
2016-04-22,2535,283,1931,955,122,813,2794,308,2981,6284,713,5725
2016-04-23,9844,542,4175,482,93,608,1262,203,1910,11588,838,6693
2016-04-24,339,86,424,316,99,295,600,152,509,1255,337,1228
2016-04-25,580,96,435,322,72,331,1320,199,1065,2222,367,1831
2016-04-26,948,147,863,473,79,237,3570,437,1700,4991,663,2800
2016-04-27,717,119,534,473,81,321,3541,519,1813,4731,719,2668
2016-04-28,667,84,307,688,121,503,1266,240,1094,2621,445,1904
2016-04-29,846,142,463,698,75,387,949,168,863,2493,385,1713
2016-04-30,508,71,331,202,38,177,521,106,459,1231,215,967
2016-05-01,248,53,277,256,49,252,431,83,290,935,185,819
2016-05-02,11463,224,2497,429,87,340,904,116,773,12796,427,3610
2016-05-03,646,85,404,716,111,665,1398,208,1589,2760,404,2658
2016-05-04,644,139,551,961,144,1037,1214,321,1391,2819,604,2979
2016-05-05,738,126,541,475,104,349,1398,267,1005,2611,497,1895
2016-05-06,1184,140,733,467,59,232,1411,233,1330,3062,432,2295
2016-05-07,1327,98,522,223,54,181,454,124,351,2004,276,1054
2016-05-08,400,72,312,279,80,207,703,149,697,1382,301,1216
2016-05-09,2359,179,3699,420,78,427,2395,219,2614,5174,476,6740
2016-05-10,2844,207,2579,886,121,696,1766,319,1896,5496,647,5171
2016-05-11,12076,199,8685,388,84,370,2275,540,2707,14739,823,11762
2016-05-12,1954,102,891,287,79,222,1171,396,1188,3412,577,2301
2016-05-13,961,88,776,296,80,237,2276,195,1697,3533,363,2710
2016-05-14,547,89,430,253,44,143,1331,223,1399,2131,356,1972
2016-05-15,914,107,757,371,78,225,1276,186,1042,2561,371,2024
2016-05-16,3573,135,941,2189,179,1486,1435,223,1282,7197,537,3709
2016-05-17,771,103,639,655,159,367,1324,236,1361,2750,498,2367
2016-05-18,1970,147,1232,600,135,579,1389,288,1170,3959,570,2981
2016-05-19,633,121,524,696,114,556,919,157,764,2248,392,1844
2016-05-20,1424,152,1165,396,61,219,2479,418,1859,4299,631,3243
2016-05-21,1213,143,684,240,49,157,1200,178,1335,2653,370,2176
2016-05-22,340,68,180,305,54,307,2412,228,1632,3057,350,2119
2016-05-23,676,112,635,535,77,397,2585,304,2703,3796,493,3735
2016-05-24,782,148,630,294,94,206,1302,292,1239,2378,534,2075
2016-05-25,1728,252,1267,515,133,520,1277,190,1277,3520,575,3064
2016-05-26,536,81,397,553,94,534,2348,284,1720,3437,459,2651
2016-05-27,794,130,890,283,71,162,2111,483,1740,3188,684,2792
2016-05-28,690,113,466,216,41,152,844,120,822,1750,274,1440
2016-05-29,439,107,394,272,54,192,1113,166,832,1824,327,1418
2016-05-30,663,75,558,540,85,342,803,150,670,2006,310,1570
2016-05-31,466,84,375,236,64,130,940,230,827,1642,378,1332
2016-06-01,553,111,402,325,88,239,1875,191,1427,2753,390,2068
2016-06-02,4702,194,2840,728,115,543,1118,149,1039,6548,458,4422
2016-06-03,1017,107,636,386,80,207,974,161,844,2377,348,1687
2016-06-04,381,73,269,349,50,345,1032,229,756,1762,352,1370
2016-06-05,17453,6847,19574,372,40,407,1264,148,1966,19089,7035,21947
2016-06-06,1003,127,805,395,72,359,1176,168,1159,2574,367,2323
2016-06-07,459,94,461,292,66,205,1165,116,1027,1916,276,1693
2016-06-08,5927,203,1114,16684,545,6217,2654,240,1921,25265,988,9252
2016-06-09,430,77,332,455,76,375,1527,146,948,2412,299,1655
2016-06-10,677,106,605,353,61,246,1219,147,1226,2249,314,2077
2016-06-11,3298,111,1727,213,39,144,601,106,504,4112,256,2375
2016-06-12,501,77,378,249,42,118,989,120,873,1739,239,1369
2016-06-13,442,75,491,180,44,165,681,116,655,1303,235,1311
2016-06-14,370,68,294,468,76,543,756,213,818,1594,357,1655
2016-06-15,419,76,261,342,42,276,936,145,862,1697,263,1399
2016-06-16,692,122,623,704,56,358,1131,153,978,2527,331,1959
2016-06-17,1258,120,780,632,57,390,988,178,859,2878,355,2029
2016-06-18,585,89,313,135,37,126,605,92,577,1325,218,1016
2016-06-19,636,98,438,440,88,208,504,127,427,1580,313,1073
2016-06-20,535,105,368,282,51,222,1586,199,1202,2403,355,1792
2016-06-21,1774,115,1693,531,34,296,1756,235,1290,4061,384,3279
2016-06-22,1019,140,644,317,46,163,1058,172,898,2394,358,1705
2016-06-23,1270,201,641,595,92,407,31952,1151,15875,33817,1444,16923
2016-06-24,1614,163,1113,411,98,218,1226,185,652,3251,446,1983
2016-06-25,259,72,196,171,32,150,825,118,706,1255,222,1052
2016-06-26,449,71,285,261,27,128,455,93,405,1165,191,818
2016-06-27,436,112,299,815,60,447,711,182,815,1962,354,1561
2016-06-28,597,88,516,202,55,221,1193,187,1402,1992,330,2139
2016-06-29,3825,668,1543,290,66,270,919,205,740,5034,939,2553
2016-06-30,851,128,899,435,98,655,1212,177,1052,2498,403,2606
2016-07-01,1063,110,494,455,106,413,965,215,813,2483,431,1720
2016-07-02,503,71,335,79,25,51,685,141,602,1267,237,988
2016-07-03,1538,297,1337,258,59,276,599,136,525,2395,492,2138
2016-07-04,395,117,300,2264,156,1002,4314,310,2043,6973,583,3345
2016-07-05,592,91,461,205,37,121,623,170,542,1420,298,1124
2016-07-06,588,86,452,324,64,286,3884,119,1941,4796,269,2679
2016-07-07,825,103,730,509,70,214,821,111,662,2155,284,1606
2016-07-08,516,65,333,328,69,197,700,129,669,1544,263,1199
2016-07-09,514,57,419,149,36,97,404,77,394,1067,170,910
2016-07-10,353,56,251,165,31,92,4090,300,1877,4608,387,2220
2016-07-11,706,83,652,281,34,106,1098,144,823,2085,261,1581
2016-07-12,744,113,594,370,62,354,1596,255,1356,2710,430,2304
2016-07-13,440,62,351,637,121,435,546,128,575,1623,311,1361
2016-07-14,308,68,262,288,55,273,1828,293,1832,2424,416,2367
2016-07-15,739,100,692,594,105,687,1312,283,1497,2645,488,2876
2016-07-16,552,66,239,285,48,152,1300,211,712,2137,325,1103
2016-07-17,402,70,379,1385,112,686,469,101,387,2256,283,1452
2016-07-18,356,67,473,369,66,324,788,118,916,1513,251,1713
2016-07-19,959,119,778,1580,121,740,808,166,584,3347,406,2102
2016-07-20,768,104,433,354,64,234,1230,190,1120,2352,358,1787
2016-07-21,972,91,637,539,80,249,1668,231,1572,3179,402,2458
2016-07-22,686,101,474,1906,111,933,1164,206,860,3756,418,2267
2016-07-23,475,70,426,331,72,294,791,131,799,1597,273,1519
2016-07-24,969,131,755,750,79,430,9006,866,3329,10725,1076,4514
2016-07-25,1903,257,1113,1822,130,684,4070,420,2438,7795,807,4235
2016-07-26,1214,297,811,886,121,591,1772,486,1570,3872,904,2972
2016-07-27,1569,128,1097,624,87,584,1793,270,1562,3986,485,3243
2016-07-28,625,106,418,721,82,606,6622,788,3382,7968,976,4406
2016-07-29,6005,319,1845,239,54,101,2102,314,1365,8346,687,3311
2016-07-30,1172,160,641,512,101,267,1038,152,788,2722,413,1696
2016-07-31,427,99,342,275,18,293,809,143,769,1511,260,1404
2016-08-01,1201,91,1741,2914,71,1393,747,140,559,4862,302,3693
2016-08-02,365,69,288,275,54,216,934,132,969,1574,255,1473
2016-08-03,784,91,460,2664,174,1240,815,139,591,4263,404,2291
2016-08-04,612,105,500,304,37,264,1514,280,1512,2430,422,2276
2016-08-05,1151,84,534,478,110,476,1121,158,885,2750,352,1895
2016-08-06,10762,602,4353,5345,532,2336,12314,819,5585,28421,1953,12274
2016-08-07,443,59,248,361,53,421,894,146,873,1698,258,1542
2016-08-08,431,82,217,347,55,452,730,114,655,1508,251,1324
2016-08-09,589,72,353,321,71,261,1027,147,843,1937,290,1457
2016-08-10,928,96,987,438,45,315,717,115,479,2083,256,1781
2016-08-11,4455,342,1554,208,59,116,1118,203,679,5781,604,2349
2016-08-12,612,104,357,162,44,125,772,151,820,1546,299,1302
2016-08-13,2126,141,2016,555,86,367,6435,692,1953,9116,919,4336
2016-08-14,713,64,665,268,55,201,1071,149,943,2052,268,1809
2016-08-15,564,96,459,786,98,475,1183,231,1297,2533,425,2231
2016-08-16,1298,147,561,604,115,379,1761,327,1745,3663,589,2685
2016-08-17,1192,220,1481,694,86,413,2206,230,1707,4092,536,3601
2016-08-18,1032,201,1157,1231,142,291,2029,343,1919,4292,686,3367
2016-08-19,488,161,512,372,87,294,1561,228,1143,2421,476,1949
2016-08-20,429,80,333,298,57,303,698,136,674,1425,273,1310
2016-08-21,410,89,438,3179,72,713,1061,131,799,4650,292,1950
2016-08-22,398,71,215,453,69,411,1562,259,1580,2413,399,2206
2016-08-23,634,96,517,283,69,231,1103,245,974,2020,410,1722
2016-08-24,919,154,888,294,55,248,1436,261,1391,2649,470,2527
2016-08-25,823,111,722,181,28,191,1173,207,1027,2177,346,1940
2016-08-26,227,79,184,378,53,206,675,114,689,1280,246,1079
2016-08-27,480,70,461,287,45,223,1313,163,945,2080,278,1629
2016-08-28,532,74,393,235,40,223,859,88,783,1626,202,1399
2016-08-29,353,73,184,240,39,149,879,101,650,1472,213,983
2016-08-30,543,94,456,2403,187,892,627,119,519,3573,400,1867
2016-08-31,861,111,731,397,50,239,766,156,526,2024,317,1496
