Date,Positive_nlikes,Positive_nreplies,Positive_nretweets,Negative_nlikes,Negative_nreplies,Negative_nretweets,Neutral_nlikes,Neutral_nreplies,Neutral_nretweets,Total_Positive,Total_Negative,Total_Neutral
2020-02-07,3176,372,1153,1912,141,821,994,112,507,4701,2874,1613
2020-02-08,7942,312,2891,3322,515,1372,714,97,373,11145,5209,1184
2020-02-09,2233,219,1019,3685,609,1452,336,75,110,3471,5746,521
2020-02-10,3767,260,1150,1826,224,906,1253,139,683,5177,2956,2075
2020-02-11,3071,338,1181,1621,283,526,713,100,275,4590,2430,1088
2020-02-12,2184,190,866,1749,194,536,566,113,256,3240,2479,935
2020-02-13,3059,1335,1259,911,167,411,2218,128,546,5653,1489,2892
2020-02-14,2035,171,628,2907,436,1802,560,62,181,2834,5145,803
2020-02-15,3151,173,1132,1931,545,1224,1211,203,533,4456,3700,1947
2020-02-16,479,75,193,932,171,730,355,44,107,747,1833,506
2020-02-17,40257,2393,14300,2072,192,1034,1131,99,380,56950,3298,1610
2020-02-18,10119,1428,5530,1885,315,1094,1286,210,507,17077,3294,2003
2020-02-19,47978,2871,10854,6427,789,1953,5495,534,1023,61703,9169,7052
2020-02-20,20200,14232,5114,4071,363,1418,2318,627,776,39546,5852,3721
2020-02-21,3593,795,1258,4134,390,870,1502,191,328,5646,5394,2021
2020-02-22,2078,271,741,1450,156,459,1613,162,681,3090,2065,2456
2020-02-23,3937,420,1543,1570,255,620,577,52,243,5900,2445,872
2020-02-24,1437,152,605,2773,297,1113,1042,121,629,2194,4183,1792
2020-02-25,1834,180,557,402,97,128,529,70,207,2571,627,806
2020-02-26,1596,270,587,269,86,78,455,176,169,2453,433,800
2020-02-27,3465,334,1098,3516,289,1356,394,73,189,4897,5161,656
2020-02-28,1881,349,483,1033,148,561,1708,271,746,2713,1742,2725
2020-02-29,1650,163,570,932,116,560,223,64,91,2383,1608,378
2020-03-01,2790,291,908,565,106,194,1569,262,581,3989,865,2412
2020-03-02,8844,321,2132,1246,180,554,1571,318,873,11297,1980,2762
2020-03-03,2808,268,1049,1393,173,549,419,102,157,4125,2115,678
2020-03-04,1524,402,502,2920,348,973,2454,438,1141,2428,4241,4033
2020-03-05,2611,218,836,1903,213,485,4138,512,2012,3665,2601,6662
2020-03-06,1936,140,946,635,92,177,384,53,139,3022,904,576
2020-03-07,947,214,331,850,172,286,853,81,249,1492,1308,1183
2020-03-08,1870,183,739,2461,219,1227,582,86,164,2792,3907,832
2020-03-09,1758,200,389,2321,167,868,1943,218,1018,2347,3356,3179
2020-03-10,2102,523,1038,32824,3152,11765,2538,182,1071,3663,47741,3791
2020-03-11,2174,192,621,9254,509,3309,6688,441,5445,2987,13072,12574
2020-03-12,13229,1666,4017,4475,511,1697,4679,462,1287,18912,6683,6428
2020-03-13,3046,382,840,2702,325,952,793,112,282,4268,3979,1187
2020-03-14,5788,554,2045,1647,311,642,707,157,317,8387,2600,1181
2020-03-15,2884,357,1098,2331,318,868,8025,502,2914,4339,3517,11441
2020-03-16,2807,278,899,17031,418,3403,1307,151,326,3984,20852,1784
2020-03-17,5515,627,3167,1670,164,706,1888,139,783,9309,2540,2810
2020-03-18,2400,209,779,1285,159,496,367,71,69,3388,1940,507
2020-03-19,2790,226,1347,1256,264,379,552,83,116,4363,1899,751
2020-03-20,6249,324,1185,1297,248,770,565,225,180,7758,2315,970
2020-03-21,4960,409,1940,2157,168,906,3123,129,1355,7309,3231,4607
2020-03-22,1358,153,581,19883,235,5209,854,170,610,2092,25327,1634
2020-03-23,8804,1147,3573,1928,360,810,4173,309,1212,13524,3098,5694
2020-03-24,2291,156,1165,899,113,111,362,38,213,3612,1123,613
2020-03-25,4708,239,1042,2157,285,1194,644,77,220,5989,3636,941
2020-03-26,8733,1104,3838,3122,365,1538,3722,466,2000,13675,5025,6188
2020-03-27,1749,173,614,807,104,303,311,64,112,2536,1214,487
2020-03-28,7787,332,2342,959,136,425,865,55,336,10461,1520,1256
2020-03-29,1589,200,610,690,103,264,1083,91,395,2399,1057,1569
2020-03-30,2843,188,1023,4263,250,2107,1473,94,583,4054,6620,2150
2020-03-31,702,118,232,1145,125,708,2470,145,904,1052,1978,3519
2020-04-01,9630,391,1651,2806,273,1259,2710,151,1096,11672,4338,3957
2020-04-02,2595,247,930,2883,354,1540,679,74,270,3772,4777,1023
2020-04-03,2020,149,749,380,80,125,1419,102,542,2918,585,2063
2020-04-04,2999,203,1150,841,164,451,4221,87,1961,4352,1456,6269
2020-04-05,18681,3113,2563,929,125,470,368,48,179,24357,1524,595
2020-04-06,920,157,279,581,83,285,514,55,194,1356,949,763
2020-04-07,6535,846,1402,1723,236,610,2585,230,1319,8783,2569,4134
2020-04-08,9088,881,2940,898,212,296,869,119,328,12909,1406,1316
2020-04-09,5903,268,2693,2103,316,1136,2480,179,1090,8864,3555,3749
2020-04-10,2683,205,1202,3292,217,1448,976,123,412,4090,4957,1511
2020-04-11,9282,396,2726,885,159,285,413,189,147,12404,1329,749
2020-04-12,7491,652,2175,1612,260,665,3346,200,1167,10318,2537,4713
2020-04-13,2983,318,838,5664,539,3046,1881,102,706,4139,9249,2689
2020-04-14,1364,198,508,2553,284,1087,1213,200,484,2070,3924,1897
2020-04-15,7800,544,1394,3237,360,1379,2142,265,767,9738,4976,3174
2020-04-16,1662,291,729,4747,336,1518,2479,148,654,2682,6601,3281
2020-04-17,3918,501,1700,3226,273,1379,1178,159,480,6119,4878,1817
2020-04-18,2505,266,1170,1511,262,486,611,87,151,3941,2259,849
2020-04-19,1283,173,318,459,113,145,2258,148,858,1774,717,3264
2020-04-20,6621,530,2399,549,132,292,3040,130,628,9550,973,3798
2020-04-21,929,189,346,5861,733,2854,5434,956,2897,1464,9448,9287
2020-04-22,1857,214,722,550,107,331,223,60,138,2793,988,421
2020-04-23,1125,145,390,2444,558,1276,593,75,198,1660,4278,866
2020-04-24,1591,177,566,1388,171,484,473,94,243,2334,2043,810
2020-04-25,1988,149,607,6298,655,2576,262,57,95,2744,9529,414
2020-04-26,1635,215,617,10033,1061,3570,1044,234,458,2467,14664,1736
2020-04-27,1103,235,502,3352,381,1568,600,94,247,1840,5301,941
2020-04-28,1332,214,438,11174,1078,4211,525,95,223,1984,16463,843
2020-04-29,1413,264,437,2671,362,919,1522,265,687,2114,3952,2474
2020-04-30,3062,369,710,1422,289,715,2289,132,831,4141,2426,3252
2020-05-01,1231,155,545,1041,111,437,541,41,150,1931,1589,732
2020-05-02,2603,160,906,885,169,843,175,47,69,3669,1897,291
2020-05-03,2294,207,548,3633,378,1673,463,69,154,3049,5684,686
2020-05-04,2289,331,444,1452,239,784,696,122,255,3064,2475,1073
2020-05-05,4435,685,2663,4273,508,1761,1042,164,482,7783,6542,1688
2020-05-06,2552,245,798,2284,226,875,445,69,143,3595,3385,657
2020-05-07,1807,327,512,1699,292,654,919,105,478,2646,2645,1502
2020-05-08,6966,635,3023,6374,651,2551,2509,252,790,10624,9576,3551
2020-05-09,5637,777,2005,8124,859,3780,1065,425,525,8419,12763,2015
2020-05-10,1116,185,434,1796,393,682,1056,127,289,1735,2871,1472
2020-05-11,7620,535,2236,4186,558,2057,869,183,355,10391,6801,1407
2020-05-12,3054,783,1523,2730,304,1068,715,131,263,5360,4102,1109
2020-05-13,2767,237,1864,2286,164,1731,1406,112,599,4868,4181,2117
2020-05-14,1434,217,614,2834,224,1167,680,85,203,2265,4225,968
2020-05-15,1792,376,1276,3100,265,1390,570,73,169,3444,4755,812
2020-05-16,1909,363,1151,1753,260,841,540,95,214,3423,2854,849
2020-05-17,1525,267,508,3645,568,1560,659,175,443,2300,5773,1277
2020-05-18,11685,2177,3810,8830,738,3614,3338,293,960,17672,13182,4591
2020-05-19,5942,547,1662,2670,340,744,2534,251,519,8151,3754,3304
2020-05-20,4181,411,1488,8240,634,3605,1656,193,398,6080,12479,2247
2020-05-21,8978,785,3937,61813,5112,23769,1965,299,708,13700,90694,2972
2020-05-22,4919,591,2262,14087,1185,7174,1744,202,718,7772,22446,2664
2020-05-23,1320,195,595,3016,350,1433,1905,282,921,2110,4799,3108
2020-05-24,3213,226,1087,1660,238,706,809,108,475,4526,2604,1392
2020-05-25,522,117,148,1437,173,578,441,169,218,787,2188,828
2020-05-26,2392,115,2412,16256,2032,8330,1421,78,977,4919,26618,2476
2020-05-27,2072,233,673,5535,819,2895,3115,274,780,2978,9249,4169
2020-05-28,1684,197,732,1013,127,434,696,201,294,2613,1574,1191
2020-05-29,1654,427,786,548,130,180,631,80,262,2867,858,973
2020-05-30,1247,228,369,1477,220,450,1229,133,283,1844,2147,1645
2020-05-31,1615,285,555,5855,168,2400,1165,50,308,2455,8423,1523
2020-06-01,1273,121,645,2929,260,1262,703,80,228,2039,4451,1011
2020-06-02,1591,183,519,2237,172,929,585,85,194,2293,3338,864
2020-06-03,4002,405,1534,4421,529,1829,872,156,255,5941,6779,1283
2020-06-04,6841,286,3226,6745,1400,4133,3419,232,1003,10353,12278,4654
2020-06-05,3736,184,2253,3086,383,2242,749,64,452,6173,5711,1265
2020-06-06,1151,162,312,2966,241,570,591,74,200,1625,3777,865
2020-06-07,5952,173,3139,13608,206,7071,654,116,321,9264,20885,1091
2020-06-08,4676,490,2053,1786,220,714,2015,265,865,7219,2720,3145
2020-06-09,4795,305,1352,8666,283,5481,1130,85,747,6452,14430,1962
2020-06-10,1836,256,948,1126,234,501,1006,121,363,3040,1861,1490
2020-06-11,8337,364,4352,4323,1000,3569,3594,220,1466,13053,8892,5280
2020-06-12,5674,616,2669,5886,424,701,1301,181,558,8959,7011,2040
2020-06-13,1255,274,441,1324,392,343,3446,189,869,1970,2059,4504
2020-06-14,653,353,207,1025,181,333,1613,171,772,1213,1539,2556
2020-06-15,5240,349,1163,932,199,455,1898,145,777,6752,1586,2820
2020-06-16,9644,314,5858,5081,305,4708,2457,177,2132,15816,10094,4766
2020-06-17,1998,161,733,5436,1144,3187,12678,1672,5933,2892,9767,20283
2020-06-18,2526,157,1647,5719,304,2887,959,69,693,4330,8910,1721
2020-06-19,2082,245,645,973,204,698,1042,100,440,2972,1875,1582
2020-06-20,7337,398,2248,1398,202,500,4795,255,1523,9983,2100,6573
2020-06-21,10947,2068,3416,7463,607,2970,58239,4016,13198,16431,11040,75453
2020-06-22,3248,380,1024,25797,1346,9992,11387,719,7321,4652,37135,19427
2020-06-23,2875,282,1107,1780,290,490,1698,193,474,4264,2560,2365
2020-06-24,1924,215,625,2084,271,1187,1031,301,407,2764,3542,1739
2020-06-25,3077,361,555,1113,182,290,1032,92,405,3993,1585,1529
2020-06-26,3698,433,987,70885,21695,20767,1044,162,358,5118,113347,1564
2020-06-27,10405,2218,2437,22388,992,6154,4845,217,2803,15060,29534,7865
2020-06-28,2186,275,620,1879,228,767,1018,216,761,3081,2874,1995
2020-06-29,4070,330,1253,3252,324,961,1164,120,672,5653,4537,1956
2020-06-30,3548,356,1050,26396,1210,11886,1243,365,328,4954,39492,1936
2020-07-01,5492,621,1933,2870,557,977,1483,252,352,8046,4404,2087
2020-07-02,2746,437,861,1446,246,335,862,162,197,4044,2027,1221
2020-07-03,2727,261,885,2001,227,801,3129,252,1772,3873,3029,5153
2020-07-04,1143,114,317,1761,170,867,384,82,120,1574,2798,586
2020-07-05,3285,261,1223,734,107,285,492,45,170,4769,1126,707
2020-07-06,6724,777,2888,1280,206,566,4705,441,1935,10389,2052,7081
2020-07-07,1994,264,724,2353,238,701,1508,136,302,2982,3292,1946
2020-07-08,7725,898,4522,5332,291,1827,1438,179,370,13145,7450,1987
2020-07-09,1126,143,526,1096,112,438,307,67,87,1795,1646,461
2020-07-10,1999,174,677,794,78,307,638,72,200,2850,1179,910
2020-07-11,3871,281,843,620,97,236,133,28,49,4995,953,210
2020-07-12,2879,543,1417,2569,305,1259,1019,262,348,4839,4133,1629
2020-07-13,7057,968,2615,5757,407,1753,2504,530,684,10640,7917,3718
2020-07-14,4023,427,1219,2659,244,1035,877,128,317,5669,3938,1322
2020-07-15,4920,465,2174,1124,185,470,1148,219,634,7559,1779,2001
2020-07-16,1316,242,414,1747,236,680,2547,199,639,1972,2663,3385
2020-07-17,1455,180,809,1442,178,537,648,96,172,2444,2157,916
2020-07-18,2892,396,1734,4491,310,2116,815,97,572,5022,6917,1484
2020-07-19,1825,190,654,1678,325,1198,689,98,462,2669,3201,1249
2020-07-20,1128,203,346,2835,137,662,635,92,475,1677,3634,1202
2020-07-21,3464,268,2880,1856,188,1526,580,30,601,6612,3570,1211
2020-07-22,3631,831,1589,1840,308,660,405,66,125,6051,2808,596
2020-07-23,1303,393,494,3563,435,1822,360,138,93,2190,5820,591
2020-07-24,6256,797,1334,999,179,427,2356,178,711,8387,1605,3245
2020-07-25,1370,196,538,4710,598,2355,621,93,225,2104,7663,939
2020-07-26,822,139,300,1519,173,376,458,84,222,1261,2068,764
2020-07-27,7017,201,2577,1986,239,1182,592,66,205,9795,3407,863
2020-07-28,14757,1898,3142,5054,756,1757,611,117,76,19797,7567,804
2020-07-29,2475,324,413,18902,1154,6490,585,101,145,3212,26546,831
